"ConsumerId","ChoiceSetId","AlternativeIdInSet","Choice","Brand","Size","Storage","Ram","Battery","Price"
1,1,1,1,"iPad","sz7inch","st32gb","r4gb","b7h","p499"
1,1,2,0,"Surface","sz10inch","st64gb","r2gb","b9h","p399"
1,1,3,0,"Kindle","sz9inch","st16gb","r2gb","b8h","p499"
1,2,1,1,"iPad","sz8inch","st32gb","r1gb","b8h","p399"
1,2,2,0,"Surface","sz10inch","st128gb","r4gb","b7h","p299"
1,2,3,0,"Nexus","sz7inch","st64gb","r1gb","b9h","p199"
1,3,1,0,"Surface","sz8inch","st64gb","r1gb","b7h","p199"
1,3,2,0,"Kindle","sz9inch","st16gb","r4gb","b9h","p399"
1,3,3,1,"Galaxy","sz10inch","st128gb","r2gb","b9h","p499"
1,4,1,1,"iPad","sz9inch","st16gb","r4gb","b7h","p299"
1,4,2,0,"Galaxy","sz8inch","st128gb","r2gb","b8h","p169"
1,4,3,0,"Nexus","sz10inch","st32gb","r1gb","b9h","p169"
1,5,1,0,"Surface","sz7inch","st32gb","r2gb","b8h","p199"
1,5,2,1,"Galaxy","sz7inch","st128gb","r1gb","b7h","p399"
1,5,3,0,"Nexus","sz9inch","st32gb","r4gb","b8h","p299"
1,6,1,0,"Kindle","sz7inch","st16gb","r1gb","b7h","p169"
1,6,2,0,"Nexus","sz8inch","st64gb","r4gb","b9h","p499"
1,6,3,1,"Kindle","sz8inch","st16gb","r2gb","b8h","p299"
1,7,1,1,"iPad","sz10inch","st16gb","r1gb","b9h","p199"
1,7,2,0,"iPad","sz10inch","st128gb","r2gb","b7h","p499"
1,7,3,0,"Galaxy","sz7inch","st64gb","r4gb","b8h","p169"
1,8,1,0,"Surface","sz8inch","st128gb","r4gb","b8h","p499"
1,8,2,0,"Kindle","sz8inch","st32gb","r1gb","b7h","p199"
1,8,3,1,"iPad","sz9inch","st64gb","r2gb","b9h","p399"
1,9,1,0,"Surface","sz7inch","st32gb","r2gb","b8h","p169"
1,9,2,1,"Galaxy","sz9inch","st64gb","r1gb","b9h","p299"
1,9,3,0,"Nexus","sz10inch","st16gb","r4gb","b7h","p499"
1,10,1,1,"iPad","sz9inch","st16gb","r4gb","b9h","p169"
1,10,2,0,"Kindle","sz8inch","st32gb","r1gb","b8h","p199"
1,10,3,0,"Nexus","sz7inch","st128gb","r2gb","b7h","p399"
1,11,1,0,"Galaxy","sz8inch","st16gb","r4gb","b9h","p399"
1,11,2,1,"iPad","sz10inch","st128gb","r2gb","b8h","p299"
1,11,3,0,"Surface","sz10inch","st64gb","r1gb","b7h","p399"
1,12,1,1,"Galaxy","sz10inch","st32gb","r2gb","b7h","p299"
1,12,2,0,"Kindle","sz9inch","st64gb","r4gb","b9h","p199"
1,12,3,0,"Galaxy","sz9inch","st128gb","r1gb","b8h","p499"
1,13,1,0,"Nexus","sz8inch","st32gb","r4gb","b7h","p169"
1,13,2,1,"Galaxy","sz9inch","st64gb","r1gb","b8h","p169"
1,13,3,0,"Surface","sz10inch","st16gb","r2gb","b9h","p169"
1,14,1,0,"Kindle","sz7inch","st32gb","r1gb","b9h","p169"
1,14,2,1,"iPad","sz7inch","st64gb","r2gb","b8h","p499"
1,14,3,0,"Galaxy","sz7inch","st32gb","r1gb","b9h","p199"
1,15,1,0,"iPad","sz8inch","st128gb","r1gb","b7h","p399"
1,15,2,0,"iPad","sz7inch","st64gb","r2gb","b8h","p399"
1,15,3,1,"iPad","sz9inch","st32gb","r4gb","b9h","p399"
2,16,1,1,"Galaxy","sz8inch","st64gb","r4gb","b7h","p499"
2,16,2,0,"Kindle","sz10inch","st64gb","r2gb","b8h","p199"
2,16,3,0,"Galaxy","sz9inch","st32gb","r1gb","b9h","p169"
2,17,1,0,"Nexus","sz9inch","st16gb","r2gb","b9h","p399"
2,17,2,1,"Kindle","sz7inch","st128gb","r4gb","b7h","p169"
